DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
2013-09-04,KCB,KCB Group Plc,33.75,55.5,42.5,45.0,43.0,42.25,0.05,6.500000000000001e-05,462200.0
2013-09-05,KCB,KCB Group Plc,33.75,55.5,43.0,45.5,45.0,43.0,0.05,6.4e-05,2890000.0
2013-09-06,KCB,KCB Group Plc,33.75,55.5,45.0,46.0,45.0,45.0,0.0,0.0,757900.0
2013-09-09,KCB,KCB Group Plc,33.75,55.5,44.25,45.25,45.0,45.0,0.2,0.00025499999999999996,492100.0
2013-09-10,KCB,KCB Group Plc,33.75,55.5,44.25,45.25,44.75,45.0,0.0,0.0,468000.0
2013-09-11,KCB,KCB Group Plc,33.75,55.5,44.0,44.75,44.25,44.75,0.0,0.0,1858100.0
2013-09-12,KCB,KCB Group Plc,33.75,55.5,43.5,44.25,44.0,44.25,0.0,0.0,1960500.0
2013-09-13,KCB,KCB Group Plc,33.75,55.5,44.0,44.5,44.0,44.0,-0.05,6.2e-05,446700.0
2013-09-16,KCB,KCB Group Plc,33.75,55.5,44.0,44.75,44.25,44.0,0.1,0.000125,121900.0
2013-09-17,KCB,KCB Group Plc,33.75,55.5,44.25,45.0,44.75,44.25,0.05,6.2e-05,2522900.0
2013-09-18,KCB,KCB Group Plc,33.75,55.5,44.5,44.75,44.5,44.75,0.05,6.099999999999999e-05,288700.0
2013-09-19,KCB,KCB Group Plc,33.75,55.5,44.5,45.25,45.0,44.5,0.15,0.000183,872500.0
2013-09-20,KCB,KCB Group Plc,33.75,55.5,44.5,47.0,45.0,45.0,0.15,0.00018,428300.0
2013-09-23,KCB,KCB Group Plc,33.75,55.5,44.75,45.0,44.75,45.0,-0.2,0.000235,416700.0
2013-09-24,KCB,KCB Group Plc,33.75,55.5,44.5,45.75,45.0,44.75,-0.05,6e-05,643300.0
2013-09-25,KCB,KCB Group Plc,33.75,55.5,45.0,46.75,46.0,45.0,0.1,0.000121,1019700.0
2013-09-26,KCB,KCB Group Plc,33.75,55.5,46.0,46.75,46.5,46.0,0.0,0.0,888400.0
2013-09-27,KCB,KCB Group Plc,33.75,55.5,46.5,46.75,46.5,46.5,-0.05,6e-05,329400.0
2013-09-30,KCB,KCB Group Plc,33.75,55.5,46.5,47.0,46.5,46.5,0.2,0.000241,1143800.0
2013-10-02,KCB,KCB Group Plc,33.75,55.5,46.5,46.75,46.5,46.5,0.25,0.000294,1432500.0
2013-10-03,KCB,KCB Group Plc,33.75,55.5,46.5,47.0,46.5,46.5,0.15,0.000171,1058500.0
2013-10-04,KCB,KCB Group Plc,33.75,55.5,46.5,48.0,47.0,46.5,0.0,0.0,1417500.0
2013-10-07,KCB,KCB Group Plc,33.75,55.5,47.5,49.5,48.75,47.0,0.2,0.000225,1425500.0
2013-10-08,KCB,KCB Group Plc,33.75,55.5,48.75,50.0,49.75,48.75,0.3,0.00033,2998900.0
2013-10-09,KCB,KCB Group Plc,33.75,55.5,49.0,49.75,49.25,49.75,-0.3,0.000319,2240000.0
2013-10-10,KCB,KCB Group Plc,33.75,55.5,48.75,49.75,49.25,49.25,-0.1,0.00011000000000000002,500100.0
2013-10-11,KCB,KCB Group Plc,33.75,55.5,48.5,49.0,48.5,49.25,0.0,0.0,117300.0
2013-10-14,KCB,KCB Group Plc,33.75,55.5,47.5,48.75,48.0,48.5,0.05,5.6000000000000006e-05,2698200.0
2013-10-15,KCB,KCB Group Plc,33.75,55.5,47.0,48.0,47.25,48.0,0.1,0.00011000000000000002,202700.0
2013-10-16,KCB,KCB Group Plc,33.75,55.5,47.0,48.5,47.75,47.25,0.0,0.0,622800.0
2013-10-17,KCB,KCB Group Plc,33.75,55.5,48.0,48.75,48.25,47.75,-0.05,5.500000000000001e-05,144400.0
2013-10-18,KCB,KCB Group Plc,33.75,55.5,48.5,49.5,49.0,48.25,-0.05,5.500000000000001e-05,411600.0
2013-10-22,KCB,KCB Group Plc,33.75,55.5,49.25,50.0,49.5,49.0,-0.1,0.00011000000000000002,1141000.0
2013-10-23,KCB,KCB Group Plc,33.75,55.5,49.0,50.0,49.5,49.5,0.05,5.6000000000000006e-05,419600.0
2013-10-24,KCB,KCB Group Plc,33.75,55.5,49.0,50.5,49.5,49.5,0.0,0.0,2580800.0
2013-10-25,KCB,KCB Group Plc,33.75,55.5,48.0,49.5,48.75,49.5,0.0,0.0,1148300.0
2013-10-28,KCB,KCB Group Plc,33.75,55.5,48.0,50.0,48.5,48.75,0.0,0.0,166100.0
2013-10-30,KCB,KCB Group Plc,33.75,55.5,48.5,49.5,48.5,48.5,0.25,0.000278,4249000.0
2013-10-31,KCB,KCB Group Plc,33.75,55.5,48.25,49.0,48.5,48.5,0.2,0.00021600000000000002,3719300.0
2013-11-01,KCB,KCB Group Plc,33.75,55.5,48.25,49.0,48.5,48.5,0.1,0.000106,1867000.0
2013-11-04,KCB,KCB Group Plc,33.75,55.5,48.5,49.5,48.75,48.5,0.15,0.00015700000000000002,752000.0
2013-11-05,KCB,KCB Group Plc,33.75,55.5,48.5,49.5,48.75,48.75,-0.05,5.2e-05,1100400.0
2013-11-06,KCB,KCB Group Plc,33.75,55.5,47.75,49.0,48.25,48.75,0.05,5.2e-05,2576800.0
2013-11-07,KCB,KCB Group Plc,33.75,55.5,47.0,48.0,47.5,48.25,0.15,0.000155,2691700.0
2013-11-08,KCB,KCB Group Plc,33.75,55.5,45.75,47.5,46.25,47.5,-0.1,0.00010200000000000001,4147100.0
2013-11-11,KCB,KCB Group Plc,33.75,55.5,46.25,47.0,46.5,46.25,0.05,5.1000000000000006e-05,2104500.0
2013-11-12,KCB,KCB Group Plc,33.75,55.5,46.25,47.0,46.5,46.5,0.0,0.0,2405600.0
2013-11-13,KCB,KCB Group Plc,33.75,55.5,46.25,47.0,46.5,46.5,0.0,0.0,4053100.0
2013-11-14,KCB,KCB Group Plc,33.75,55.5,46.25,46.75,46.5,46.5,0.05,5.1000000000000006e-05,1064500.0
2013-11-15,KCB,KCB Group Plc,33.75,55.5,46.0,46.5,46.0,46.5,0.0,0.0,3188800.0
2013-11-18,KCB,KCB Group Plc,33.75,55.5,46.0,47.0,46.5,46.0,0.05,5.1000000000000006e-05,1227400.0
2013-11-19,KCB,KCB Group Plc,33.75,55.5,46.75,47.5,47.0,46.5,0.05,5.1000000000000006e-05,1755800.0
2013-11-20,KCB,KCB Group Plc,33.75,55.5,47.25,48.5,47.5,47.0,0.1,0.000101,1158300.0
2013-11-21,KCB,KCB Group Plc,33.75,55.5,47.75,49.5,48.75,47.5,0.55,0.000547,211800.0
2013-11-22,KCB,KCB Group Plc,33.75,55.5,48.5,49.5,48.75,48.75,0.15,0.00014199999999999998,1345100.0
2013-11-25,KCB,KCB Group Plc,33.75,55.5,49.0,49.5,49.0,48.75,0.15,0.00014,1802800.0
2013-11-26,KCB,KCB Group Plc,33.75,55.5,48.75,49.25,48.75,49.0,0.1,9.2e-05,2254700.0
2013-11-27,KCB,KCB Group Plc,33.75,55.5,48.5,49.0,48.5,48.75,0.0,0.0,2990200.0
